draft_pick,p_nhler,p_star,source,vintage_pulled
169,0.066549,0.0089,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
170,0.065516,0.008651,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
171,0.064504,0.00841,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
172,0.063512,0.008177,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
173,0.062539,0.007951,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
174,0.061587,0.007733,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
175,0.060653,0.007523,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
176,0.059737,0.007319,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
177,0.05884,0.007121,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
178,0.05796,0.00693,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
179,0.057097,0.006745,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
180,0.056252,0.006566,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
181,0.055422,0.006393,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
182,0.054609,0.006225,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
183,0.053811,0.006062,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
184,0.053028,0.005905,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
185,0.052261,0.005752,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
186,0.051507,0.005604,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
187,0.050769,0.005461,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
188,0.050044,0.005322,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
189,0.049332,0.005187,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
190,0.048634,0.005056,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
191,0.047949,0.00493,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
192,0.047277,0.004807,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
193,0.046616,0.004687,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
194,0.045968,0.004572,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
195,0.045332,0.004459,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
196,0.044708,0.00435,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
197,0.044095,0.004244,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
198,0.043492,0.004142,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
199,0.042901,0.004042,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
200,0.04232,0.003945,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
201,0.04175,0.003851,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
202,0.04119,0.003759,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
203,0.04064,0.003671,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
204,0.040099,0.003584,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
205,0.039568,0.0035,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
206,0.039046,0.003419,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
207,0.038533,0.00334,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
208,0.038029,0.003263,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
209,0.037534,0.003188,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
210,0.037047,0.003115,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
211,0.036569,0.003044,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
212,0.036099,0.002975,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
213,0.035637,0.002908,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
214,0.035183,0.002843,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
215,0.034736,0.002779,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
216,0.034297,0.002717,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
217,0.033865,0.002657,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
218,0.03344,0.002598,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
219,0.033023,0.002541,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
220,0.032612,0.002486,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
221,0.032208,0.002432,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
222,0.031811,0.002379,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
223,0.03142,0.002328,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
224,0.031036,0.002278,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
225,0.030658,0.002229,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
